2017-12-23 22:42:40.306 ,9128283H1,99-027,0-00+,
2017-12-23 22:42:40.610 ,9128283H1,99-075,0-002,
2017-12-23 22:42:40.914 ,9128283H1,99-127,0-002,
2017-12-23 22:42:41.236 ,9128283H1,99-171,0-00+,
2017-12-23 22:42:41.539 ,9128283H1,99-207,0-003,
2017-12-23 22:42:41.838 ,9128283H1,99-255,0-002,
2017-12-23 22:42:42.140 ,9128283H1,99-29+,0-003,
2017-12-23 22:42:42.440 ,9128283H1,100-016,0-002,
2017-12-23 22:42:42.740 ,9128283H1,100-061,0-00+,
2017-12-23 22:42:43.043 ,9128283H1,100-102,0-003,
2017-12-23 22:42:43.347 ,9128283H1,100-146,0-003,
2017-12-23 22:42:43.649 ,9128283H1,100-17+,0-002,
2017-12-23 22:42:43.953 ,9128283H1,100-211,0-003,
2017-12-23 22:42:44.260 ,9128283H1,100-252,0-003,
2017-12-23 22:42:44.565 ,9128283H1,100-292,0-00+,
2017-12-23 22:42:44.866 ,9128283H1,100-305,0-00+,
2017-12-23 22:42:45.170 ,9128283H1,100-266,0-003,
2017-12-23 22:42:45.475 ,9128283H1,100-230,0-003,
2017-12-23 22:42:45.776 ,9128283H1,100-205,0-002,
2017-12-23 22:42:46.084 ,9128283H1,100-163,0-00+,
2017-12-23 22:42:46.388 ,9128283H1,100-12+,0-003,
2017-12-23 22:42:46.688 ,9128283H1,100-082,0-00+,
2017-12-23 22:42:46.991 ,9128283H1,100-041,0-002,
2017-12-23 22:42:47.293 ,9128283H1,99-317,0-00+,
2017-12-23 22:42:47.598 ,9128283H1,99-27+,0-00+,
2017-12-23 22:42:47.903 ,9128283H1,99-231,0-003,
2017-12-23 22:42:48.208 ,9128283H1,99-192,0-00+,
2017-12-23 22:42:48.513 ,9128283H1,99-147,0-003,
2017-12-23 22:42:48.813 ,9128283H1,99-106,0-002,
2017-12-23 22:42:49.116 ,9128283H1,99-065,0-003,
2017-12-23 22:42:49.425 ,9128283H1,99-02+,0-003,
2017-12-23 22:42:49.727 ,9128283L2,99-015,0-002,
